{ Methods = 5, Name = System.Text.DecoderReplacementFallbackBuffer }
{ Methods = 5, Name = System.Text.EncoderExceptionFallbackBuffer }
{ Methods = 5, Name = System.Text.EncoderFallbackException }
{ Methods = 5, Name = System.Text.EncoderReplacementFallback }
{ Methods = 5, Name = System.Tuple`2 }
{ Methods = 5, Name = System.WeakReference }
{ Methods = 4, Name = System.Collections.DictionaryBase }
{ Methods = 4, Name = System.Collections.ObjectModel.KeyedCollection`2 }
{ Methods = 4, Name = System.DBNull }
{ Methods = 4, Name = System.Diagnostics.Contracts.ContractOptionAttribute }
{ Methods = 4, Name = System.Diagnostics.StackTrace }
{ Methods = 4, Name = System.Diagnostics.Tracing.EventCommandEventArgs }
{ Methods = 4, Name = System.Diagnostics.Tracing.EventFieldAttribute }
{ Methods = 4, Name = System.Globalization.ChineseLunisolarCalendar }
{ Methods = 4, Name = System.Globalization.CultureNotFoundException }
{ Methods = 4, Name = System.Globalization.JapaneseLunisolarCalendar }
{ Methods = 4, Name = System.Globalization.KoreanLunisolarCalendar }
{ Methods = 4, Name = System.Globalization.TaiwanLunisolarCalendar }
{ Methods = 4, Name = System.MulticastDelegate }
{ Methods = 4, Name = System.Object }
{ Methods = 4, Name = System.Reflection.Emit.UnmanagedMarshal }
{ Methods = 4, Name = System.Reflection.LocalVariableInfo }
{ Methods = 4, Name = System.Resources.ResourceReader }
{ Methods = 4, Name = System.Runtime.Hosting.ActivationArguments }
{ Methods = 4, Name = System.Runtime.InteropServices.ComCompatibleVersionAttribute }
{ Methods = 4, Name = System.Runtime.InteropServices.TypeLibConverter }
{ Methods = 4, Name = System.Runtime.Remoting.ActivatedServiceTypeEntry }
{ Methods = 4, Name = System.Runtime.Remoting.Channels.ChannelDataStore }
{ Methods = 4, Name = System.Runtime.Remoting.Metadata.W3cXsd2001.SoapAnyUri }
{ Methods = 4, Name = System.Runtime.Remoting.Metadata.W3cXsd2001.SoapBase64Binary }
{ Methods = 4, Name = System.Runtime.Remoting.Metadata.W3cXsd2001.SoapDay }
{ Methods = 4, Name = System.Runtime.Remoting.Metadata.W3cXsd2001.SoapEntities }
{ Methods = 4, Name = System.Runtime.Remoting.Metadata.W3cXsd2001.SoapEntity }
{ Methods = 4, Name = System.Runtime.Remoting.Metadata.W3cXsd2001.SoapHexBinary }
{ Methods = 4, Name = System.Runtime.Remoting.Metadata.W3cXsd2001.SoapId }
{ Methods = 4, Name = System.Runtime.Remoting.Metadata.W3cXsd2001.SoapIdref }
{ Methods = 4, Name = System.Runtime.Remoting.Metadata.W3cXsd2001.SoapIdrefs }
{ Methods = 4, Name = System.Runtime.Remoting.Metadata.W3cXsd2001.SoapInteger }
{ Methods = 4, Name = System.Runtime.Remoting.Metadata.W3cXsd2001.SoapLanguage }
{ Methods = 4, Name = System.Runtime.Remoting.Metadata.W3cXsd2001.SoapMonth }
{ Methods = 4, Name = System.Runtime.Remoting.Metadata.W3cXsd2001.SoapMonthDay }
{ Methods = 4, Name = System.Runtime.Remoting.Metadata.W3cXsd2001.SoapName }
{ Methods = 4, Name = System.Runtime.Remoting.Metadata.W3cXsd2001.SoapNcName }
{ Methods = 4, Name = System.Runtime.Remoting.Metadata.W3cXsd2001.SoapNegativeInteger }
{ Methods = 4, Name = System.Runtime.Remoting.Metadata.W3cXsd2001.SoapNmtoken }
{ Methods = 4, Name = System.Runtime.Remoting.Metadata.W3cXsd2001.SoapNmtokens }
{ Methods = 4, Name = System.Runtime.Remoting.Metadata.W3cXsd2001.SoapNonNegativeInteger }
{ Methods = 4, Name = System.Runtime.Remoting.Metadata.W3cXsd2001.SoapNonPositiveInteger }
{ Methods = 4, Name = System.Runtime.Remoting.Metadata.W3cXsd2001.SoapNormalizedString }
{ Methods = 4, Name = System.Runtime.Remoting.Metadata.W3cXsd2001.SoapNotation }
{ Methods = 4, Name = System.Runtime.Remoting.Metadata.W3cXsd2001.SoapPositiveInteger }
{ Methods = 4, Name = System.Runtime.Remoting.Metadata.W3cXsd2001.SoapTime }
{ Methods = 4, Name = System.Runtime.Remoting.Metadata.W3cXsd2001.SoapToken }
{ Methods = 4, Name = System.Runtime.Remoting.Proxies.ProxyAttribute }
{ Methods = 4, Name = System.Runtime.Remoting.TypeEntry }
{ Methods = 4, Name = System.Security.AccessControl.AuthorizationRule }
{ Methods = 4, Name = System.Security.AccessControl.CompoundAce }
{ Methods = 4, Name = System.Security.AccessControl.DirectoryObjectSecurity }
{ Methods = 4, Name = System.Security.AccessControl.KnownAce }
{ Methods = 4, Name = System.Security.Cryptography.AsymmetricKeyExchangeDeformatter }
{ Methods = 4, Name = System.Security.Cryptography.AsymmetricKeyExchangeFormatter }
{ Methods = 4, Name = System.Security.Cryptography.AsymmetricSignatureDeformatter }
{ Methods = 4, Name = System.Security.Cryptography.AsymmetricSignatureFormatter }
{ Methods = 4, Name = System.Security.Cryptography.DESCryptoServiceProvider }
{ Methods = 4, Name = System.Security.Cryptography.RandomNumberGenerator }
{ Methods = 4, Name = System.Security.Cryptography.RC2 }
{ Methods = 4, Name = System.Security.Cryptography.RijndaelManaged }
{ Methods = 4, Name = System.Security.Cryptography.RSAOAEPKeyExchangeDeformatter }
{ Methods = 4, Name = System.Security.Cryptography.TripleDESCryptoServiceProvider }
{ Methods = 4, Name = System.Security.HostProtectionException }
{ Methods = 4, Name = System.Security.Permissions.IsolatedStoragePermissionAttribute }
{ Methods = 4, Name = System.Security.Policy.CodeConnectAccess }
{ Methods = 4, Name = System.Security.Policy.FirstMatchCodeGroup }
{ Methods = 4, Name = System.Security.Policy.UnionCodeGroup }
{ Methods = 4, Name = System.Security.ReadOnlyPermissionSet }
{ Methods = 4, Name = System.Text.DecoderExceptionFallback }
{ Methods = 4, Name = System.Text.DecoderExceptionFallbackBuffer }
{ Methods = 4, Name = System.Text.EncoderExceptionFallback }
{ Methods = 4, Name = System.Text.EncodingProvider }
{ Methods = 4, Name = System.Threading.EventWaitHandle }
{ Methods = 4, Name = System.Threading.Tasks.ConcurrentExclusiveSchedulerPair }
{ Methods = 4, Name = System.Tuple`1 }
{ Methods = 3, Name = System.Action }
{ Methods = 3, Name = System.Action`1 }
{ Methods = 3, Name = System.Action`2 }
{ Methods = 3, Name = System.Action`3 }
{ Methods = 3, Name = System.Action`4 }
{ Methods = 3, Name = System.Action`5 }
{ Methods = 3, Name = System.Action`6 }
{ Methods = 3, Name = System.Action`7 }
{ Methods = 3, Name = System.Action`8 }
{ Methods = 3, Name = System.AppDomainInitializer }
